Date,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctChInL,PctChInM
1982/2/1,61990.27,1.22,234,170.02,5436,20064,12.1,1.38107753,1.309126482
1982/3/1,61956.04,1.22,233,170.76,5436,20064,12.2,1.38107753,1.309126482
1982/4/1,62037.18,1.22,236.3,172.45,5436,20064,12.9,1.38107753,1.309126482
1982/5/1,62118.32,1.22,242.3,179.44,5436,20064,12.3,1.38107753,1.309126482
1982/6/1,62113.25,1.22,250.3,185.57,5436,20064,12.3,1.38107753,1.309126482
1982/7/1,62096.77,1.22,247.5,191.6,5436,20064,12.5,1.38107753,1.309126482
1982/8/1,62068.88,1.22,242.7,194.14,5436,20064,12.6,1.38107753,1.309126482
1982/9/1,62090.43,1.22,241.9,201.34,5436,20064,11.8,1.38107753,1.309126482
1982/10/1,62091.7,1.22,234.6,201.97,5436,20064,11.3,1.38107753,1.309126482
1982/11/1,62095.5,1.22,233.1,197.85,5436,20064,10.9,1.38107753,1.309126482
1982/12/1,62200.73,1.22,231.7,194.14,5436,20064,10.9,1.38107753,1.309126482
1983/1/1,62408.66,1.16,232.9,195.73,5614,20986,11.1,1.459045116,1.415237657
1983/2/1,62733.23,1.16,234.6,193.93,5614,20986,11.1,1.459045116,1.415237657
1983/3/1,62993.14,1.16,234.1,191.18,5614,20986,10.6,1.459045116,1.415237657
1983/4/1,63317.71,1.16,240.3,183.99,5614,20986,10.3,1.459045116,1.415237657
1983/5/1,63635.94,1.16,242.5,181.02,5614,20986,9.9,1.459045116,1.415237657
1983/6/1,63947.83,1.16,240,177.96,5614,20986,9.1,1.459045116,1.415237657
1983/7/1,64312.97,1.16,237.9,176.26,5614,20986,9.6,1.459045116,1.415237657
1983/8/1,64598.24,1.16,234.5,175.31,5614,20986,9.2,1.459045116,1.415237657
1983/9/1,64770.67,1.16,230.7,173.41,5614,20986,9.6,1.459045116,1.415237657
1983/10/1,64892.38,1.16,227.9,171.71,5614,20986,9.7,1.459045116,1.415237657
